alt_name_x,gubernia,href,lat,long,name,province,google_maps,jewish_gen,usbgn,alt_name_y,notes,population,region,pop1,year1,pop2,year2,pop_diff,year_diff,pop_diff_year,google_lat,google_long
?,Piotrkow,/town/aleksandrow_lod.htm,51?49',19?18',Aleksandrow Lodzki,Lodz,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=51.816667,19.3+(Aleksandrow Lodzki)&ie=UTF8&ll=51.816667,19.3&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=51.816667&long=19.3,-492230,"Alternate?names: Aleksandr?w ??dzki [Pol], Aleksander [Yid], Aleskandr?w, Aleksandrova, Aleksandor","Russian: ???????????-??????????.   
 Yiddish: ????????????.   
 Hebrew: ??????? ?""? ????
9 miles WNW of ??d?, 5 miles SW of Zgierz.","1,673",Piotrkow,1673,1900,,,,,,51.816667,19.3
?,Lomza,/town/andrzejewo.htm,52?51',22?10',Andrzejewo,Warszawa,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=52.85,22.166667+(Andrzejewo)&ie=UTF8&ll=52.85,22.166667&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=52.85&long=22.166667,-492271,"Alternate?names: Andrzejewo [Pol], Andzheyevo [Rus]","Russian: ????????.   Hebrew: ????'?????
23 miles S of ?om?a (Lomzhe), 12 miles E of Ostr?w Mazowiecka.",586,Lomza,586,1900,,,,,,52.85,22.166667
?,Lublin,/town/annopol.htm,50?53',21?51',Annopol,Lublin,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=50.883333,21.85+(Annopol)&ie=UTF8&ll=50.883333,21.85&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=50.883333&long=21.85,-492321,"Alternate?names: Annopol [Pol], Anapol [Yid], Annopol (Lublin), Annopol-Rach?w, Rach?w-Annopol","Russian: ????????.   Hebrew: ???????
On the Vistula (Wis?a) River, 40 miles SW of Lublin, 27 miles WNW of Jan?w Lubelski, 17 miles W of Kra?nik.","575 (in 1897), 1,251 (in 1921)",Lublin,575,1897,1251,1921,676.0,24.0,28.166666666666668,50.883333,21.85
?,Suwalki,/town/augustow.htm,53?51',23?00',Augustow,Bialystok,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=53.85,23+(Augustow)&ie=UTF8&ll=53.85,23&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=53.85&long=23,-492452,"Alternate?names: August?w [Pol], Ogustove [Yid], Avgustov [Rus], Augustavas [Lith], Augustuva [Latv], Agustov, Augustov, Oygstova, Yagestov, Yagistov, Yagustova, Tobiasville [Yid]","Russian: ????????.   Yiddish: ????????? / ??????????? 
50 miles N of Bia?ystok, 18 miles S of Suwa?ki.","3,637 (in 1897), 2,397 (in 1931)",Suwalki,3637,1897,2397,1931,-1240.0,34.0,-36.470588235294116,53.85,23
?,Kalisz,/town/babiak.htm,52?21',18?40',Babiak,Poznan,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=52.35,18.666667+(Babiak)&ie=UTF8&ll=52.35,18.666667&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=52.35&long=18.666667,-492488,"Alternate?names: Babiak [Pol, Yid, Rus], Frauendorf","Russian: ?????.   Hebrew: ??????
54 miles NW of ??d?, 12 miles N of Ko?o.","240 (in 1857), 237 (in 1921)",Kalisz,240,1857,237,1921,-3.0,64.0,-0.046875,52.35,18.666667
Bomst,?,/town/babimost.htm,52?10',15?49',Babimost,Zielona,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=52.166667,15.816667+(Babimost)&ie=UTF8&ll=52.166667,15.816667&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=52.166667&long=15.816667,-492527,"Alternate?names: Babimost [Pol], Bomst [Ger]",52 miles WSW of Pozna? (Posen).,160 (in 1871),Prussia,160,1871,,,,,,52.166667,15.816667
?,?,/town/baczkow.htm,?,?,Baczkow,?,,,0,,,,,,1900,,,,,,,
?,Suwalki,/town/bakalarzewo.htm,54?05',22?39',Bakalarzewo,Bialystok,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=54.093611,22.651389+(Bakalarzewo)&ie=UTF8&ll=54.093611,22.651389&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=54.093611&long=22.651389,-492685,"Alternate?names: Baka?arzewo [Pol], Baklerove [Yid], Bakalazhevo [Rus], Baklerava, Baklrovo","Russian: ?????????? / ???????????.   
 Yiddish: ??????????  
12 miles W of Suwa?ki, and is included in Yisker Bukh Suvalk.","370 (in 1897), 141 (in 1921)",Suwalki,370,1897,141,1921,-229.0,24.0,-9.541666666666666,54.093611,22.651389
Bahn,?,/town/banie.htm,53?06',14?39',Banie,Szczecin,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=53.1,14.65+(Banie)&ie=UTF8&ll=53.1,14.65&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=53.1&long=14.65,0,,,,,,1900,,,,,,53.1,14.65
?,Lublin,/town/baranow.htm,51?34',22?09',Baranow,Lublin,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=51.566667,22.15+(Baranow)&ie=UTF8&ll=51.566667,22.15&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=51.566667&long=22.15,-492799,"Alternate?names: Baran?w [Pol], Baranov [Yid], Baranuv [Rus], Baran?w nad Wieprzem, Barnev","Russian: ??????? / ???????.   Yiddish: ????????.   
 Hebrew: ???????
There are 11 places in Poland named 'Baran?w'.  
This one is 28 miles NW of Lublin, 14 miles E of D?blin, 13 miles NE of Pu?awy.","1,398 (in 1897), 1,028 (in 1921)",Lublin,1398,1897,1028,1921,-370.0,24.0,-15.416666666666666,51.566667,22.15
